cust_id,act_active_dt,package_id,bill_zip,customer_segment,status,bill_amt
9243148228,6/22/2006,54518,560095,S,ACTIVE,561.8
9243264060,6/23/2006,617691,580029,S,ACTIVE,224.35
8951061271,8/14/2010,616488,560037,F,ACTIVE,1689.04
8951033996,6/26/2010,616488,560062,R,ACTIVE,344.04
9241079722,9/30/2005,614975,560017,G - TC,ACTIVE,478.33
8472656385,12/22/2005,605662,585101,S,ACTIVE,199.08
9243145255,5/4/2006,619979,560001,G - TC,ACTIVE,504.5
9243145259,5/4/2006,619979,560001,G - TC,ACTIVE,504.49
9243148330,5/4/2006,619979,560001,G - TC,ACTIVE,504.5
9243148339,5/4/2006,619979,560001,G - TC,ACTIVE,504.5
8064504362,6/15/2006,14183,560032,B,ACTIVE,202.25
9243141071,6/22/2006,54518,560095,S,ACTIVE,561.8
9243149024,7/10/2006,611309,560034,S,ACTIVE,842.7
9243222455,8/17/2006,615242,590001,G,ACTIVE,403.73
8064516240,8/17/2006,605662,560048,B,ACTIVE,48.31
9243520052,8/18/2006,13138,570016,G - TC,ACTIVE,1451.7
9243520063,8/18/2006,614848,570016,G - TC,ACTIVE,167.42
9243462621,8/24/2006,614847,560017,G - TC,ACTIVE,672.48
1008018294,10/25/2009,610487,560001,G - TC,ACTIVE,2772.28
1008018295,10/30/2009,610487,560001,G - TC,ACTIVE,2772.28
8123457355,7/5/2012,625572,560048,Y,ACTIVE,5769.69
7204011315,1/25/2012,625572,560068,N,ACTIVE,0
8050483264,11/15/2011,625572,560102,Y,ACTIVE,14.94
7204032716,9/16/2011,625572,560038,Y,ACTIVE,208.08
7204140026,11/4/2011,625572,560037,N,OGB,0
7795065060,1/22/2012,622478,560053,F,TSP,336.74
8867864844,3/29/2011,621000,560043,F,ACTIVE,1432.59
7204266296,5/16/2012,621000,560037,M,ACTIVE,1320.23
8867887451,3/1/2011,621000,560102,F,ACTIVE,1432.59
7411185298,3/16/2011,621000,560034,F,OGB,1432.59
8867872848,2/25/2011,621000,560040,F,ACTIVE,1432.59
8792284199,3/6/2011,621000,560094,F,ACTIVE,1432.59
8792286874,1/25/2011,621000,560016,F,ACTIVE,1526.41
7204658232,5/2/2011,628562,560045,F,TSP,533.71
8050069668,6/25/2012,623511,560078,Y,ACTIVE,246.31
9036005088,1/18/2012,623511,560078,R,ACTIVE,21.91
8904035308,8/2/2011,623511,560098,R,ACTIVE,84.27
9986453571,8/17/2011,623511,575005,F,ACTIVE,801.02
8050068979,12/5/2011,623511,560047,R,ACTIVE,58.65
9886781830,8/12/2011,623511,560093,F,ACTIVE,622.98
9164842916,7/26/2011,623511,560093,R,ACTIVE,1434.82
7204093938,6/14/2012,623511,575008,Y,ACTIVE,50.71
8904069669,2/28/2012,623511,560078,R,ACTIVE,126.29
9035018242,3/13/2012,623511,560016,Y,ACTIVE,84.27
8904008631,9/6/2011,623511,560025,R,ACTIVE,42.98
9620049500,7/22/2011,623511,560075,F,ACTIVE,1280.34
9035005564,9/29/2011,623511,560030,R,ACTIVE,481.68
8904055447,7/12/2011,623511,560020,R,ACTIVE,28.65
9243182870,8/31/2006,603643,560093,B,ACTIVE,561.8
8066103500,9/15/2006,616879,560080,G,ACTIVE,113.46
8147068979,12/5/2011,623511,560038,R,ACTIVE,206.16
9035026866,12/7/2011,623511,560054,R,ACTIVE,133.49
9243004304,7/27/2007,604571,560093,B,ACTIVE,533.71
8066521778,8/1/2007,610487,560066,G - TC,ACTIVE,8429.7
9243004334,8/25/2007,622861,560100,G - TC,ACTIVE,292.13
8066190041,9/20/2007,610487,560066,G - TC,ACTIVE,16685.91
8064507179,9/28/2007,618581,560043,B,ACTIVE,236.52
9243453002,10/5/2007,13145,560023,G,ACTIVE,2183.71
9243013994,10/24/2007,619979,560027,G - TC,ACTIVE,504.5
8065360068,10/30/2007,13067,560082,B,ACTIVE,197.97
9243328052,11/12/2007,616259,560095,G,ACTIVE,449.44
9243066079,12/14/2007,624926,560093,G,ACTIVE,224.15
9243066080,12/14/2007,624926,560093,G,ACTIVE,111.24
9243755887,12/15/2007,617691,560034,B,ACTIVE,210.58
9243069164,1/28/2008,605137,560032,S,ACTIVE,353.39
1409260407,1/29/2008,616021,560095,G - TC,ACTIVE,1235.96
8066103790,9/15/2006,616879,560080,G,ACTIVE,203.09
8066103791,9/15/2006,616879,560080,G,ACTIVE,200.07
8066187853,9/16/2006,1686,560076,B,TSP_IC,112.36
8064507735,9/25/2006,13962,560068,B,ACTIVE,34.83
9243149591,9/27/2006,54518,560095,B,ACTIVE,561.8
8064538789,10/28/2006,615074,560094,G,ACTIVE,206.19
8064524060,11/14/2006,12412,560016,S,ACTIVE,754.88
9243405916,1/12/2007,608109,560076,S,ACTIVE,1650.35
9243142905,1/18/2007,619979,560001,G - TC,ACTIVE,504.5
9243145288,1/19/2007,54518,560095,B,ACTIVE,561.8
8064522259,1/24/2007,13962,560085,B,ACTIVE,0
9243603057,2/20/2007,605661,560016,S,ACTIVE,205.61
9243188525,3/1/2007,13920,560001,G - TC,ACTIVE,1564.38
8065310980,3/9/2007,13962,560037,B,ACTIVE,0
8065313832,3/31/2007,14183,560054,B,ACTIVE,286.52
8065315303,4/11/2007,12789,560050,B,ACTIVE,298.88
9243014576,4/19/2007,604571,560076,B,ACTIVE,533.71
9243082577,5/24/2007,605113,560062,B,ACTIVE,166.86
9243041312,6/4/2007,54518,560095,B,ACTIVE,561.8
9243003044,6/13/2007,619979,560071,B,ACTIVE,345.63
9243401449,6/20/2007,608109,560032,S,ACTIVE,551.59
9243042547,6/22/2007,54518,560095,S,ACTIVE,589.89
8065598484,11/28/2002,615074,560021,G,ACTIVE,455.62
9243456158,2/22/2003,12130,560005,G,ACTIVE,790.45
8065983047,5/23/2003,605662,560050,B,ACTIVE,202.25
9243286674,12/16/2003,13870,580031,G,ACTIVE,1319.91
8206521713,11/11/2004,13962,576101,G,ACTIVE,0
8166532033,8/19/2005,606511,572105,B,ACTIVE,0
8065721111,8/27/2005,500837,562110,G,ACTIVE,597.42
8065722222,8/27/2005,500837,562110,G,ACTIVE,1107.86
8064510008,6/25/2007,14183,560037,S,ACTIVE,630.99
8064538898,7/21/2007,606511,560008,B,ACTIVE,260.68
9243069198,2/1/2008,614555,560037,B,ACTIVE,874.87
9243598555,2/14/2008,13265,570001,G - TC,ACTIVE,378.2
8065366476,2/20/2008,14183,560085,B,ACTIVE,211.24
9243039515,2/23/2008,619979,560001,G - TC,ACTIVE,504.5
9243028349,3/6/2008,605137,560058,G,ACTIVE,366.31
9243000136,3/6/2008,614825,560058,G,ACTIVE,617.98
9243079394,3/6/2008,605137,560058,G,ACTIVE,365.18
9243204769,3/6/2008,614825,560058,G,ACTIVE,617.98
9243249837,3/6/2008,612086,560058,G,ACTIVE,842.7
9243250422,3/6/2008,612086,560058,G,ACTIVE,842.7
9243331267,3/6/2008,611305,560058,G,ACTIVE,842.7
9243490547,3/7/2008,610984,560066,G - TC,ACTIVE,268.76
9243474857,3/10/2008,610984,560066,G - TC,ACTIVE,355.64
9243093779,3/11/2008,619979,560001,G - TC,OGB,504.5
9243093649,3/11/2008,619979,560001,G - TC,OGB,504.5
8065301539,3/14/2008,606511,560032,B,ACTIVE,202.25
9243076440,3/14/2008,611309,560075,G,ACTIVE,834.27
9243095051,3/29/2008,619979,560001,G - TC,ACTIVE,504.5
9243095074,3/29/2008,619979,560001,G - TC,ACTIVE,504.49
9243095088,3/29/2008,619979,560001,G - TC,ACTIVE,504.48
9243095099,3/29/2008,619979,560001,G - TC,ACTIVE,504.48
9243083630,3/24/2008,622861,561229,G - TC,ACTIVE,292.14
1409260349,6/14/2008,618237,560029,G - TC,TSP,0
8067122960,6/30/2008,616932,560026,G - TC,ACTIVE,168.56
8067122961,6/30/2008,616932,560026,G - TC,ACTIVE,168.54
8067122962,6/30/2008,616932,560026,G - TC,ACTIVE,760.28
8067122963,6/30/2008,616932,560026,G - TC,ACTIVE,566.96
8067122964,6/30/2008,616932,560026,G - TC,ACTIVE,329.47
8067122966,6/30/2008,616932,560026,G - TC,ACTIVE,959.81
8067122967,6/30/2008,616932,560026,G - TC,ACTIVE,658.58
8067122969,6/30/2008,616932,560026,G - TC,ACTIVE,244.59
8067122970,6/30/2008,616932,560026,G - TC,ACTIVE,168.54
8067122301,7/27/2008,608645,560001,G - TC,ACTIVE,619.41
8067122304,7/27/2008,608645,560001,G - TC,ACTIVE,782.21
8067122300,7/27/2008,608645,560001,G - TC,ACTIVE,189.79
8067122301,7/27/2008,608645,560001,G - TC,ACTIVE,619.41
8067122304,7/27/2008,608645,560001,G - TC,ACTIVE,782.21
8067122306,7/27/2008,608645,560001,G - TC,ACTIVE,272.18
8066193467,8/20/2008,610487,560066,G - TC,ACTIVE,23898.97
8216618888,11/28/2008,13448,570010,G - TC,ACTIVE,2872.99
8066172035,2/4/2009,613064,560095,G - TC,ACTIVE,140.33
8066172044,2/4/2009,613064,560095,G - TC,ACTIVE,251.28
8067178811,2/14/2009,621939,560001,G - TC,ACTIVE,9788.42
1008001811,4/13/2009,610487,560094,G - TC,ACTIVE,14468.88
1008010478,4/18/2009,610487,560094,G - TC,ACTIVE,8429.7
1008002082,4/13/2009,610487,560094,G - TC,ACTIVE,9825.04
1008010480,4/13/2009,610487,560123,G - TC,ACTIVE,62823
1008010912,5/11/2009,610487,560094,G - TC,ACTIVE,11257.91
1008001429,3/27/2009,610487,560094,G - TC,ACTIVE,11257.91
1008010467,5/20/2009,610487,560094,G - TC,ACTIVE,180305.5
1008010985,5/21/2009,610487,560094,G - TC,ACTIVE,44105.79
1008010986,6/10/2009,610487,560094,G - TC,ACTIVE,80301.16
1008011373,6/6/2009,610487,560094,G - TC,ACTIVE,46914.79
1008011377,6/6/2009,610487,560094,G - TC,ACTIVE,4779.79
1008011376,6/6/2009,610487,560094,G - TC,ACTIVE,4779.79
1008011378,5/30/2009,610487,560094,G - TC,ACTIVE,22652.21
1008011632,6/24/2009,610487,560094,G - TC,ACTIVE,61375.53
