SeriousDlqin2yrs,NumberOfTime30_59DaysPastDue1,util,age1,DebtRatio1,MonthlyIncome1,num_loans,depend
0,0,0,63,0.17495637,4583,1,0
0,1,0,63,0.274502,0,1,0
0,1,0.014598007,63,0.404797601,2000,2,0
0,0,0,63,0.415833667,2500,1,0
0,0,0.137448036,63,0.274502,0,0,0
0,1,0.3037836,63,0.18251928,3500,0,0
0,0,0.580629981,63,0.274502,0,3,0
0,1,0.319660233,63,0.750108648,2300,1,0
0,0,0.22913615,63,0.380361329,7250,1,0
0,0,0,63,0.419131411,5341,2,0
0,0,0.233430068,63,0.107417916,7400,0,0
0,0,0,63,0,0,0,0
0,0,0.076423089,63,0.274502,0,1,0
0,0,0.063072979,63,0.235062118,5070,1,0
0,0,0.049294471,63,0.175275482,5807,0,0
0,0,0.291052216,63,0.537213952,4500,1,0
0,0,0.220042834,63,0.274502,0,0,0
0,0,0.507819313,63,0.274502,0,1,0
0,0,0,63,0.255587949,1028,0,0
0,0,0.056194977,63,0.274502,0,2,0
0,0,0.027144251,63,0.082000508,7877,1,0
0,0,0.14425705,63,0.491676114,16758,3,0
0,0,0.011638885,63,0.138828063,11416,1,0
0,0,0.008587744,63,0.558217038,4800,1,0
0,0,0.010665245,63,0.541512915,6503,3,0
0,1,0.658258159,63,0.821464393,2990,0,0
0,0,0.939378363,63,0.274502,0,1,0
0,0,0.089577756,63,0.064755738,10500,1,0
0,1,0,63,0.403386454,3011,1,0
0,1,0.373869118,63,0.416402987,7900,0,0
0,0,0.720913006,63,0.875024995,5000,0,0
0,0,0.168034242,63,0.274502,0,1,0
0,0,0.031484371,63,0.413422209,6600,2,0
0,0,0.00088368,63,0,0,0,0
0,0,0.056147559,63,0.319034048,6666,2,0
0,0,0.829034193,63,0.274502,0,1,0
0,0,0.102185188,63,0.274502,0,2,0
0,0,0.094908186,63,0.274502,0,1,0
0,1,0.549043268,63,0.028277635,5834,0,0
0,0,0.117022074,63,0.274502,1000,1,0
0,1,0.094127058,63,0.883806262,8175,3,0
0,0,0.131600211,63,0.576325656,5600,2,0
0,0,0.015850635,63,0.015005359,1865,0,0
0,0,0.00639691,63,0.062644416,3894,0,0
0,0,0,63,0.274502,0,1,0
0,0,0.06101363,63,0.274502,2590,5,0
0,0,0.076498906,63,0.325129783,5200,1,0
0,1,0.037121017,63,0.274502,0,0,0
0,0,0.022767479,63,0.0119976,1666,0,0
0,0,0.126321841,63,0.496209182,16750,4,0
0,0,0.021069639,63,0.274502,0,1,0
0,0,0.185254608,63,0.070277683,5833,0,0
0,0,0.025731679,63,0.274502,0,1,0
0,0,0.066623334,63,0.274502,0,0,0
0,0,0.011884784,63,0.005997601,2500,0,0
0,0,0.151248779,63,0.236352729,3333,2,0
0,0,0.734934381,63,0.157838758,4700,0,0
0,0,0.239156772,63,0.20562681,4833,1,0
0,2,0.112904675,63,0.013181332,8420,0,0
0,1,0.293895314,63,0.836991958,4600,2,0
0,0,0.039847094,63,0.713963238,3100,3,0
0,0,0.007939561,63,0.003997335,1500,0,0
0,0,0.725709716,63,0.012029405,4488,0,0
0,0,0.094430649,63,0.063248503,5343,0,0
0,0,0.001884543,63,0.274502,0,1,0
1,2,0.3037836,63,0.274502,1363,1,0
1,0,0.837784961,63,0.653739184,6471,1,0
1,0,0.409644307,63,0.32230908,3325,0,0
1,2,0.907946591,63,0.431092437,3569,0,0
1,1,0,63,0.486476993,2846,0,0
1,0,0.49090182,63,0.520773162,4500,0,0
1,3,0.966033966,63,0.716189947,3600,2,0
1,3,0,63,0.861207228,2600,2,0
1,0,0.9999999,63,0.294705786,6100,1,0
1,6,0.9999999,63,0,986,0,0
1,0,0.9999999,63,0,0,0,0
1,1,0.89376715,63,0.274502,0,1,0
0,0,0.607205622,63,0.274502,0,1,0
0,0,0.005101892,63,0.236409081,4800,1,0
0,0,0,63,0.274502,0,1,0
0,0,0.065696709,63,0.404865045,3000,2,0
0,0,0,63,0.000571265,3500,0,0
0,0,0.03525713,63,0.287496429,10500,2,0
0,0,0.0019417,63,0.274502,0,1,0
0,0,0.013937686,63,0.003570154,2800,0,0
0,1,0.9999999,63,0.314398775,7833,1,0
0,0,0.044778058,63,0.066173227,20400,0,0
0,0,0.033976307,63,0.362659335,4000,1,0
0,1,0.014465497,63,0.274502,0,1,0
0,0,0.035153077,63,0.22971402,4300,2,0
0,0,0.031468608,63,0.274502,0,1,0
0,1,0.595310057,63,0.767096522,2558,1,0
0,0,0.070714297,63,0.926224427,1612,2,0
0,0,0.051826773,63,0.467663517,10900,2,0
0,0,0.015692559,63,0.274502,0,1,0
0,0,0.624252356,63,0.46245718,10800,2,0
0,0,0.029831619,63,0.51455918,7417,2,0
0,0,0.677246389,63,0.274502,3950,1,0
0,0,0.07920003,63,0.019056545,3200,0,0
0,0,0.000829317,63,0.143585641,10000,2,0
0,0,0.048757136,63,0.042527663,7500,0,0
0,0,0.9999999,63,0,0,0,0
0,0,0.002307633,63,0.278023771,4290,2,0
0,0,0.344932753,63,0.324042793,3551,1,0
0,0,0.183491786,63,0.977995837,3362,1,0
0,0,0.538182617,63,0.204501106,7686,2,0
0,0,0.101380897,63,0.113235846,8000,0,0
0,0,0.231262215,63,0.09599338,14500,0,0
0,1,0.241671474,63,0.274502,0,2,0
