SeriousDlqin2yrs,NumberOfTime30_59DaysPastDue1,util,age1,DebtRatio1,MonthlyIncome1,num_loans,depend
0,0,0.004731037,76,0.173178316,7396,1,1
0,0,0.003980948,76,0.001147842,4355,0,1
0,0,0.085806042,76,0.034727703,3800,0,1
0,0,0.02406012,76,0.274502,1500,2,1
0,0,0.033870929,76,0.158898631,6500,1,1
0,0,0.053427045,76,0.017736214,3100,0,1
0,0,0.216861571,76,0.425714857,5000,2,1
0,0,0.018716628,76,0.534448282,5500,2,1
0,0,0.034920835,76,0.033655448,3000,0,1
0,0,0.526683069,76,0.104138979,10533,0,1
0,0,0,76,0.496501166,3000,1,1
0,1,0.04194966,76,0.420664207,5148,1,1
0,0,0.015118699,76,0.170523041,5142,1,1
0,0,0.787979795,76,0.711648113,14731,11,1
0,0,0.379550083,76,0.274502,0,1,1
0,0,0.000891663,76,0.153159586,2800,0,1
0,0,0.003835782,76,0.422447194,8000,2,1
0,0,0.056817149,76,0.087626056,7337,1,1
0,1,0.878971646,76,0.319622387,2965,2,1
0,0,0.023761905,76,0.162973635,34704,1,1
0,0,0.08665725,76,0.201627637,6020,1,1
0,0,0.023030634,76,0.00779922,10000,0,1
0,0,0.092545402,76,0.287201234,5187,2,1
0,0,0.146749287,76,0.042343203,3140,0,1
0,0,0.014312405,77,0.083783243,5000,0,1
0,0,0.00630538,77,0.001180173,5083,0,1
0,0,0,77,0.124500182,5501,1,1
0,0,0.037401613,77,0.009998182,5500,0,1
0,0,0.822677174,77,0.274502,3500,2,1
0,0,0.53815304,77,0.267609966,3250,2,1
0,0,0.008986875,77,0.001636661,9775,0,1
0,0,0.022789059,77,0.078998073,3632,0,1
0,0,0.054504494,77,0.006494711,16166,0,1
0,0,0.241793416,77,0.071984004,4500,0,1
0,0,0.032974176,77,0.601279744,5000,2,1
0,0,0.00887807,77,0.477697095,5783,3,1
0,0,0,77,0,0,0,1
0,0,0.257013509,77,0.424065821,5833,2,1
0,0,0.300849575,77,0.004329004,4157,0,1
0,0,0.230354796,77,0.644523439,4500,1,1
0,0,0.204149974,77,0.259399445,3962,0,1
0,0,0.261273873,77,0.035755479,2600,0,1
0,0,0.957688677,77,0.477922517,5910,0,1
0,0,0.079610621,77,0.145713572,4000,0,1
0,0,0.657703319,77,0.178177759,21500,1,1
0,0,0.082697243,77,0.274502,0,0,1
0,0,0.01099956,77,0.00159968,5000,0,1
0,0,0.19205771,77,0.016996601,5000,0,1
0,1,0.005198017,77,0.50509898,5000,1,1
0,0,0.130339636,77,0.210344165,5200,2,1
0,0,0.011440882,77,0.274502,0,1,1
0,0,0.085997676,77,0.248442486,6580,1,1
0,0,0.452317091,77,0.5376216,10073,1,1
0,0,0.006355976,77,0.00179964,5000,0,1
0,0,0,77,0.126548196,1856,0,1
0,1,0.322258079,77,0.072377693,9933,2,1
0,0,0.035830845,77,0.00443787,3379,0,1
0,1,0.153455446,77,0.274388142,2900,1,1
0,0,0.02252793,77,0.185851821,7166,1,1
0,0,0,78,0,2885,0,1
0,0,0.802461793,78,0.957183805,5581,2,1
0,0,0.060171297,78,0.011425307,3500,0,1
0,0,0.100833082,78,0.472286822,5159,1,1
0,0,0.030728132,78,0.059310578,5917,1,1
